year,group,dollar
1969-1970,Current dollars,8626
1969-1970,Constant* 2016-17 dollars,55411
1979-1980,Current dollars,15970
1979-1980,Constant* 2016-17 dollars,49917
1989-1990,Current dollars,31367
1989-1990,Constant* 2016-17 dollars,59944
1999-2000,Current dollars,41807
1999-2000,Constant* 2016-17 dollars,59924
2009-2010,Current dollars,55202
2009-2010,Constant* 2016-17 dollars,61804
2015-2016,Current dollars,58353
2015-2016,Constant* 2016-17 dollars,59426
2016-2017,Current dollars,58950
2016-2017,Constant* 2016-17 dollars,59950
